,total,minimap2_align,CN_profile,make_CG_plot,modbam_to_bedMethyl,PDFreport_WGS,demux_QC,coverage_mosdepth,annotate_bedMethyl,tSNE,NN_classifier,QC_nanostat,mirror_modbam,Sample
0,751.4712999999999,115.3444,30.7938,13.4866,184.9156,3.0706,81.9092,62.5867,2.0816,247.4699,1.9988,5.6101,2.204,NDMA1
0,962.1537,258.1463,34.4068,22.2459,179.1238,2.5948,119.0375,68.1465,4.0346,255.1544,2.5059,11.9121,4.8451,NDMA2
0,690.4927000000001,66.9696,26.4568,7.0728,143.0461,2.542,18.9365,58.9828,0.7746,360.9886,2.274,1.7811,0.6678,NDMA3
0,1099.3923,234.3165,34.9976,23.4016,180.8906,2.7316,132.7607,67.4723,4.6896,397.2161,2.2865,12.7037,5.9255,NDMA4
0,1712.8114999999998,753.0738,41.7801,39.69,180.059,2.7613,176.7799,72.2234,7.348,402.7685,2.8299,23.8804,9.6172,NDMA5
0,810.6776,200.1021,31.5124,16.2225,169.9897,2.5877,68.5934,66.2208,3.0287,238.7243,2.4444,7.9225,3.3291,NDMA6
0,940.2568,358.2208,29.1905,11.4324,172.851,2.507,62.9978,64.0626,1.9235,228.032,2.2731,4.6121,2.154,NDMA7
0,1183.3562,430.6869,30.9191,14.9707,180.1157,2.7207,63.2239,65.283,2.295,379.4772,2.6865,7.2338,3.7437,NDMA8
0,874.3261,155.1093,29.8154,12.4888,168.2136,2.531,53.3746,63.3194,2.016,376.7745,2.6831,5.317,2.6834,NDMA9
0,921.5649,161.7974,30.4991,13.4192,176.4667,2.795,59.0721,64.707,2.13,399.6262,2.2801,6.2009,2.5712,NDMA10
0,887.9521,108.9674,30.0143,11.7722,194.5332,2.6444,84.5497,65.3253,1.5045,379.2806,2.4772,4.8718,2.0115,NDMA11
0,993.2904,87.2529,29.8446,13.6713,240.2208,3.19,161.1353,65.8518,1.1697,381.5546,2.3455,4.9988,2.0551,NDMA12
0,932.3456,100.6488,29.6205,11.7006,213.1669,2.6737,122.822,64.9106,1.2843,376.2888,2.7786,4.6051,1.8457,NDMA13
0,1175.3664,359.3045,29.3948,11.2623,209.5779,2.5715,113.3063,64.8186,1.3101,376.0156,1.9529,4.0937,1.7582,NDMA14
0,866.4776,111.723,30.0366,12.1425,187.8387,2.6158,64.6757,65.3059,1.5399,381.4415,2.2186,4.8637,2.0757,NDMA15
0,992.9690000000002,121.446,31.1544,15.5247,208.7381,2.8523,153.8319,65.981,1.7838,380.0595,2.0348,6.6685,2.894,NDMA16
0,957.2654000000002,91.37,29.6717,12.3488,220.1976,2.601,147.7641,64.8819,1.1248,378.4789,2.3971,4.5819,1.8476,NDMA17
0,770.474,108.8746,28.0944,9.3933,146.6279,2.7196,24.5847,61.0105,1.118,381.199,2.0657,3.5074,1.2789,NDMA18
0,979.6495,222.0896,31.5286,16.7379,168.9344,2.8067,63.2803,65.9369,2.6837,391.714,2.2289,8.2668,3.4417,NDMA19
0,843.9843000000001,141.4955,28.9114,11.0512,161.0409,2.7353,39.0521,62.4766,1.4998,387.5655,2.0692,4.3678,1.719,NDMA20
0,1157.3044000000002,423.5428,29.8956,12.3615,174.5615,2.5395,60.2917,64.5199,1.6208,377.9761,2.449,5.2678,2.2782,NDMA21
0,1305.2845999999995,509.4773,32.2298,18.2288,176.7242,2.6852,79.3651,66.9302,2.8302,401.1278,2.2641,9.2983,4.1236,NDMA22
0,1111.7815,373.2772,30.261,12.915,176.2904,2.6982,53.295,64.1708,1.6777,386.9239,2.2096,5.6338,2.4289,NDMA23
0,1310.6464,442.4767,33.1285,19.335,192.1076,2.8729,148.0359,66.9502,2.7156,386.8978,2.3269,9.6039,4.1954,NDMA24
0,917.6988,127.96,31.2735,15.4498,183.532,2.7077,90.1228,65.8349,2.3216,385.6281,2.3708,7.2987,3.1989,NDMA25
0,1127.9737000000002,367.6335,30.111,12.7041,180.4532,2.5202,71.1027,65.5403,1.7648,386.0427,2.2478,5.5706,2.2828,NDMA26
0,913.2031,127.3764,31.0727,15.523,192.6286,2.9677,91.1119,65.549,2.0428,372.5619,1.9287,7.3793,3.0611,NDMA27
0,1119.6575,349.5448,29.6318,12.0873,189.4205,2.5526,88.1763,64.2847,1.4588,372.8747,2.28,5.2125,2.1335,NDMA28
0,733.837,75.5153,28.012,7.6965,153.8926,2.6438,30.7094,60.6523,0.7457,368.441,2.3422,2.4274,0.7588,NDMA29
0,803.7243000000001,99.9094,29.6636,10.6534,169.9464,2.6052,51.3329,63.1069,1.3437,367.2474,1.9436,4.1944,1.7774,NDMA30
0,1099.2780000000002,375.9921,29.362,11.2433,181.7188,2.5693,56.4336,63.3069,1.3731,369.1255,2.0856,4.3311,1.7367,NDMA31
0,729.8937,67.6159,27.4637,7.2379,159.5236,2.5321,33.0197,60.5428,0.6355,366.5401,2.1659,1.9567,0.6598,NDMA32
0,929.2255,289.8106,33.3479,21.0195,177.3714,2.764,77.2319,66.8985,3.1826,239.4367,2.6589,10.6609,4.8426,NDMA33
