,Sample,Modkit,Bed,Prediction,Total
20,NDMA1,4.551,7.078,8.913,20.55
13,NDMA2,6.785,8.932,7.809,23.533
96,NDMA3,0.003,0.359,6.201,6.57
35,NDMA4,6.259,9.968,7.818,24.052
83,NDMA5,8.85,10.529,7.781,27.167
37,NDMA6,8.138,11.327,8.193,27.665
54,NDMA7,4.389,8.441,7.742,20.579
60,NDMA8,6.141,6.783,7.699,20.629
49,NDMA9,6.684,9.059,7.781,23.531
34,NDMA10,7.081,8.763,8.339,24.19
64,NDMA11,3.186,5.281,7.864,16.339
21,NDMA13,2.001,4.337,6.298,12.643
45,NDMA14,2.446,4.281,6.276,13.01
92,NDMA15,3.87,5.643,7.81,17.331
22,NDMA16,2.868,4.529,6.234,13.647
58,NDMA17,1.851,3.731,6.252,11.841
72,NDMA18,0.003,0.366,6.209,6.586
5,NDMA19,9.021,10.433,7.763,27.224
0,NDMA20,7.375,8.657,7.869,23.908
46,NDMA21,5.507,7.105,7.859,20.478
80,NDMA22,6.753,8.056,7.83,22.647
86,NDMA23,5.013,6.234,7.79,19.045
11,NDMA24,4.198,5.544,7.731,17.48
38,NDMA25,5.315,6.885,7.765,19.972
87,NDMA26,4.438,6.682,7.83,18.958
47,NDMA27,3.949,5.535,7.832,17.323
50,NDMA28,3.483,5.046,7.734,16.271
30,NDMA29,3.858,5.514,7.808,17.195
73,NDMA30,5.7,6.294,7.749,19.75
90,NDMA31,3.591,5.575,7.77,16.944
8,NDMA32,2.925,4.65,7.797,15.379
88,NDMA33,6.637,8.271,7.745,22.661
74,NDMA34,0.003,0.366,6.176,6.552
41,NDMA35,7.365,9.047,7.699,24.118
97,NDMA36,8.579,9.296,7.785,25.667
17,NDMA37,0.003,0.358,6.13,6.498
27,NDMA38,4.366,5.848,7.779,18.0
91,NDMA39,7.869,9.269,7.786,24.931
7,NDMA40,8.287,9.799,7.768,25.862
44,NDMA41,1.614,3.779,6.332,11.732
62,NDMA43,4.31,6.121,7.795,18.234
99,NDMA44,4.958,5.651,7.904,18.52
63,NDMA45,4.087,5.551,7.826,17.472
18,NDMA46,9.674,10.576,7.767,28.025
32,NDMA47,3.306,4.749,7.697,15.76
79,NDMA48,3.246,4.672,7.733,15.658
100,NDMA49,6.698,7.468,7.75,21.923
36,NDMA50,8.879,9.395,7.811,26.092
25,NDMA52,3.636,5.332,7.735,16.71
75,NDMA53,7.014,7.717,7.677,22.416
57,NDMA55,5.665,7.153,7.758,20.584
68,NDMA56,3.727,5.214,7.777,16.725
81,NDMA57,9.113,10.601,7.758,27.487
85,NDMA58,5.132,6.837,7.759,19.735
29,NDMA60,3.36,4.747,7.71,15.825
14,NDMA61,1.615,3.608,6.309,11.539
42,NDMA62,8.369,9.309,7.75,25.443
76,NDMA63,5.22,6.714,7.772,19.713
31,NDMA64,5.898,7.791,7.805,21.501
39,NDMA65,4.79,6.287,7.749,18.833
51,NDMA66,9.396,10.94,7.738,28.089
94,NDMA67,4.351,5.861,7.839,18.059
59,NDMA68,12.583,12.518,7.771,32.88
4,NDMA69,4.824,6.212,7.819,18.862
89,NDMA70,5.704,7.455,7.759,20.93
55,NDMA71,5.984,7.075,7.71,20.776
9,NDMA72,11.006,11.825,7.736,30.574
12,NDMA73,4.282,5.867,7.842,17.997
93,NDMA74,3.66,5.219,7.702,16.588
69,NDMA75,8.147,7.854,7.8,23.808
24,NDMA76,4.576,5.951,7.725,18.259
71,NDMA78,7.842,10.37,7.76,25.987
65,NDMA79,6.177,7.645,7.756,21.594
10,NDMA80,4.583,6.11,7.733,18.433
78,NDMA81,7.703,9.184,7.765,24.659
15,NDMA82,2.522,4.185,6.277,12.991
1,NDMA83,7.448,8.774,7.842,24.071
77,NDMA84,3.761,5.196,7.799,16.764
61,NDMA85,3.122,4.431,6.219,13.787
40,NDMA86,11.907,13.554,7.913,33.381
70,NDMA87,2.606,4.742,8.093,15.449
48,NDMA88,2.718,4.29,6.216,13.231
84,NDMA89,11.772,12.217,7.806,31.811
28,NDMA90,3.281,4.719,7.806,15.814
3,NDMA91,13.474,15.402,7.852,36.736
95,NDMA92,12.026,13.148,7.764,32.945
16,NDMA93,8.997,15.348,7.816,32.169
43,NDMA94,4.65,12.187,7.744,24.588
2,NDMA95,13.398,14.929,7.805,36.14
67,NDMA96,6.107,6.928,7.727,20.769
33,NDMA97,13.253,14.146,7.797,35.203
98,NDMA98,7.802,9.685,7.801,25.296
26,NDMA99,12.773,13.341,7.785,33.907
52,NDMA100,6.928,7.689,8.385,23.009
56,NDMA101,0.003,0.384,6.309,6.703
6,NDMA102,9.9,10.863,7.81,28.58
23,NDMA103,13.519,15.317,8.21,37.053
53,NDMA104,11.891,12.475,7.807,32.18
19,NDMA105,6.976,9.553,7.874,24.411
82,NDMA106,0.003,0.357,6.248,6.616
66,NDMA107,1.842,6.512,7.913,16.274
